Symbol,Price,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Int",Vol/OI,IV,Delta,Time
AAL,17.75,Put,17.5,2021-12-17,21,0.91,0.93,0.95,0.92,8636,191,45.21,61.76%,-0.432468,2021-11-26
PFE,54,Call,56,2021-12-03,7,0.58,0.61,0.64,0.59,15656,347,45.12,45.18%,0.288278,2021-11-26
ET,8.84,Call,9,2022-07-15,230,0.97,1,1.03,1.03,5656,128,44.19,44.90%,0.505825,2021-11-26
CCL,17.95,Put,16,2021-12-03,7,0.21,0.22,0.23,0.23,6046,146,41.41,94.31%,-0.172066,2021-11-26
KO,53.73,Call,54.5,2021-12-03,7,0.19,0.21,0.22,0.2,3953,112,35.29,16.76%,0.266682,2021-11-26
GM,60.17,Put,57.5,2021-12-03,7,0.51,0.53,0.55,0.53,4396,131,33.56,46.25%,-0.229338,2021-11-26
SABR,7.31,Put,5,2022-04-14,138,0.29,0.33,0.38,0.3,4405,132,33.37,73.42%,-0.142861,2021-11-26
CCL,17.95,Call,18,2021-12-03,7,0.72,0.74,0.76,0.78,5628,170,33.11,77.03%,0.510931,2021-11-26
DKNG,36.04,Call,35,2021-11-26,0,0.98,1.05,1.12,1.01,3659,111,32.96,54.83%,0.851342,2021-11-26
AAL,17.75,Call,17,2022-06-17,202,3.05,3.13,3.2,3.05,4693,150,31.29,51.79%,0.620252,2021-11-26
MRNA,329.63,Call,325,2021-11-26,0,4.25,4.93,5.6,5.75,3141,106,29.63,24.90%,0.864363,2021-11-26
AAL,17.75,Call,17.5,2021-12-17,21,1.17,1.19,1.21,1.12,4013,138,29.08,62.91%,0.567404,2021-11-26
MRK,79.16,Put,76,2021-12-03,7,0.7,0.74,0.78,0.73,3488,129,27.04,44.20%,-0.245995,2021-11-26
CSGP,77.59,Put,77,2021-12-17,21,2.05,2.18,2.3,1.9,3530,134,26.34,33.27%,-0.445893,2021-11-26
CCL,17.95,Put,17,2021-12-23,27,0.91,0.96,1,1,3979,170,23.41,75.32%,-0.356382,2021-11-26
